Car ID, 129, Car TripT, 9.72, Car DT, 1837.98, Car AT, 1828.27
Car ID, 130, Car TripT, 9.72, Car DT, 1852.27, Car AT, 1842.55
Car ID, 131, Car TripT, 9.72, Car DT, 1866.55, Car AT, 1856.83
Car ID, 132, Car TripT, 9.72, Car DT, 1880.83, Car AT, 1871.12
Car ID, 133, Car TripT, 9.72, Car DT, 1895.12, Car AT, 1885.40
Car ID, 134, Car TripT, 9.72, Car DT, 1909.40, Car AT, 1899.68
Car ID, 135, Car TripT, 9.72, Car DT, 1923.68, Car AT, 1913.97
Car ID, 136, Car TripT, 9.72, Car DT, 1937.97, Car AT, 1928.25
Car ID, 137, Car TripT, 9.72, Car DT, 1952.25, Car AT, 1942.53
Car ID, 138, Car TripT, 9.72, Car DT, 1966.53, Car AT, 1956.82
Car ID, 139, Car TripT, 9.72, Car DT, 1980.82, Car AT, 1971.10
Car ID, 140, Car TripT, 9.72, Car DT, 1995.10, Car AT, 1985.38
Car ID, 141, Car TripT, 9.72, Car DT, 2009.38, Car AT, 1999.67
Car ID, 142, Car TripT, 9.72, Car DT, 2023.67, Car AT, 2013.95
Car ID, 143, Car TripT, 9.72, Car DT, 2037.95, Car AT, 2028.23
Car ID, 144, Car TripT, 9.72, Car DT, 2052.23, Car AT, 2042.52
Car ID, 145, Car TripT, 9.72, Car DT, 2066.52, Car AT, 2056.80
Car ID, 146, Car TripT, 9.72, Car DT, 2080.80, Car AT, 2071.08
Car ID, 147, Car TripT, 9.72, Car DT, 2095.08, Car AT, 2085.37
Car ID, 148, Car TripT, 9.72, Car DT, 2109.37, Car AT, 2099.65
Car ID, 149, Car TripT, 9.72, Car DT, 2123.65, Car AT, 2113.93
Car ID, 150, Car TripT, 9.72, Car DT, 2137.93, Car AT, 2128.22
Car ID, 151, Car TripT, 9.72, Car DT, 2152.22, Car AT, 2142.50
Car ID, 152, Car TripT, 9.72, Car DT, 2166.50, Car AT, 2156.78
Car ID, 153, Car TripT, 9.72, Car DT, 2180.78, Car AT, 2171.07
Car ID, 154, Car TripT, 9.72, Car DT, 2195.07, Car AT, 2185.35
Car ID, 155, Car TripT, 9.72, Car DT, 2209.35, Car AT, 2199.63
Car ID, 156, Car TripT, 9.72, Car DT, 2223.63, Car AT, 2213.92
Car ID, 157, Car TripT, 9.72, Car DT, 2237.92, Car AT, 2228.20
Car ID, 158, Car TripT, 9.72, Car DT, 2252.20, Car AT, 2242.48
Car ID, 159, Car TripT, 9.72, Car DT, 2266.48, Car AT, 2256.77
Car ID, 160, Car TripT, 9.72, Car DT, 2280.77, Car AT, 2271.05
Car ID, 161, Car TripT, 9.72, Car DT, 2295.05, Car AT, 2285.33
Car ID, 162, Car TripT, 9.72, Car DT, 2309.33, Car AT, 2299.62
Car ID, 163, Car TripT, 9.72, Car DT, 2323.62, Car AT, 2313.90
Car ID, 164, Car TripT, 9.72, Car DT, 2337.90, Car AT, 2328.18
Car ID, 165, Car TripT, 9.72, Car DT, 2352.18, Car AT, 2342.47
Car ID, 166, Car TripT, 9.72, Car DT, 2366.47, Car AT, 2356.75
Car ID, 167, Car TripT, 9.72, Car DT, 2380.75, Car AT, 2371.03
Car ID, 168, Car TripT, 9.72, Car DT, 2395.03, Car AT, 2385.32
Car ID, 169, Car TripT, 9.72, Car DT, 2409.32, Car AT, 2399.60
Car ID, 170, Car TripT, 9.72, Car DT, 2423.60, Car AT, 2413.88
Car ID, 171, Car TripT, 9.72, Car DT, 2437.88, Car AT, 2428.17
Car ID, 172, Car TripT, 9.72, Car DT, 2452.17, Car AT, 2442.45
Car ID, 173, Car TripT, 9.72, Car DT, 2466.45, Car AT, 2456.73
Car ID, 174, Car TripT, 9.72, Car DT, 2480.73, Car AT, 2471.02
Car ID, 175, Car TripT, 9.72, Car DT, 2495.02, Car AT, 2485.30
Car ID, 176, Car TripT, 9.72, Car DT, 2509.30, Car AT, 2499.58
Car ID, 177, Car TripT, 9.72, Car DT, 2523.58, Car AT, 2513.87
Car ID, 178, Car TripT, 9.72, Car DT, 2537.87, Car AT, 2528.15
Car ID, 179, Car TripT, 9.72, Car DT, 2552.15, Car AT, 2542.43
Car ID, 180, Car TripT, 9.72, Car DT, 2566.43, Car AT, 2556.72
Car ID, 181, Car TripT, 9.72, Car DT, 2580.72, Car AT, 2571.00
Car ID, 182, Car TripT, 9.72, Car DT, 2595.00, Car AT, 2585.28
Car ID, 183, Car TripT, 9.72, Car DT, 2609.28, Car AT, 2599.57
Car ID, 184, Car TripT, 9.72, Car DT, 2623.57, Car AT, 2613.85
Car ID, 185, Car TripT, 9.72, Car DT, 2637.85, Car AT, 2628.13
Car ID, 186, Car TripT, 9.72, Car DT, 2652.13, Car AT, 2642.42
Car ID, 187, Car TripT, 9.72, Car DT, 2666.42, Car AT, 2656.70
Car ID, 188, Car TripT, 9.72, Car DT, 2680.70, Car AT, 2670.98
Car ID, 189, Car TripT, 9.72, Car DT, 2694.98, Car AT, 2685.27
Car ID, 190, Car TripT, 9.72, Car DT, 2709.27, Car AT, 2699.55
Car ID, 191, Car TripT, 9.72, Car DT, 2723.55, Car AT, 2713.83
Car ID, 192, Car TripT, 9.72, Car DT, 2737.83, Car AT, 2728.12
Car ID, 193, Car TripT, 9.72, Car DT, 2752.12, Car AT, 2742.40
Car ID, 194, Car TripT, 9.72, Car DT, 2766.40, Car AT, 2756.68
Car ID, 195, Car TripT, 9.72, Car DT, 2780.68, Car AT, 2770.97
Car ID, 196, Car TripT, 9.72, Car DT, 2794.97, Car AT, 2785.25
Car ID, 197, Car TripT, 9.72, Car DT, 2809.25, Car AT, 2799.53
Car ID, 198, Car TripT, 9.72, Car DT, 2823.53, Car AT, 2813.82
Car ID, 199, Car TripT, 9.72, Car DT, 2837.82, Car AT, 2828.10
Car ID, 200, Car TripT, 9.72, Car DT, 2852.10, Car AT, 2842.38
Car ID, 201, Car TripT, 9.72, Car DT, 2866.38, Car AT, 2856.67
Car ID, 202, Car TripT, 9.72, Car DT, 2880.67, Car AT, 2870.95
Car ID, 203, Car TripT, 9.72, Car DT, 2894.95, Car AT, 2885.23
Car ID, 204, Car TripT, 9.72, Car DT, 2909.23, Car AT, 2899.52
Car ID, 205, Car TripT, 9.72, Car DT, 2923.52, Car AT, 2913.80
Car ID, 206, Car TripT, 9.72, Car DT, 2937.80, Car AT, 2928.08
Car ID, 207, Car TripT, 9.72, Car DT, 2952.08, Car AT, 2942.37
Car ID, 208, Car TripT, 9.72, Car DT, 2966.37, Car AT, 2956.65
Car ID, 209, Car TripT, 9.72, Car DT, 2980.65, Car AT, 2970.93
Car ID, 210, Car TripT, 9.72, Car DT, 2994.93, Car AT, 2985.22
Car ID, 211, Car TripT, 9.72, Car DT, 3009.22, Car AT, 2999.50
Car ID, 212, Car TripT, 9.72, Car DT, 3023.50, Car AT, 3013.78
Car ID, 213, Car TripT, 9.72, Car DT, 3037.78, Car AT, 3028.07
Car ID, 214, Car TripT, 9.72, Car DT, 3052.07, Car AT, 3042.35
Car ID, 215, Car TripT, 9.72, Car DT, 3066.35, Car AT, 3056.63
Car ID, 216, Car TripT, 9.72, Car DT, 3080.63, Car AT, 3070.92
Car ID, 217, Car TripT, 9.72, Car DT, 3094.92, Car AT, 3085.20
Car ID, 218, Car TripT, 9.72, Car DT, 3109.20, Car AT, 3099.48
Car ID, 219, Car TripT, 9.72, Car DT, 3123.48, Car AT, 3113.77
Car ID, 220, Car TripT, 9.72, Car DT, 3137.77, Car AT, 3128.05
Car ID, 221, Car TripT, 9.72, Car DT, 3152.05, Car AT, 3142.33
Car ID, 222, Car TripT, 9.72, Car DT, 3166.33, Car AT, 3156.62
Car ID, 223, Car TripT, 9.72, Car DT, 3180.62, Car AT, 3170.90
Car ID, 224, Car TripT, 9.72, Car DT, 3194.90, Car AT, 3185.18
Car ID, 225, Car TripT, 9.72, Car DT, 3209.18, Car AT, 3199.47
Car ID, 226, Car TripT, 9.72, Car DT, 3223.47, Car AT, 3213.75
Car ID, 227, Car TripT, 9.72, Car DT, 3237.75, Car AT, 3228.03
Car ID, 228, Car TripT, 9.72, Car DT, 3252.03, Car AT, 3242.32
Car ID, 229, Car TripT, 9.72, Car DT, 3266.32, Car AT, 3256.60
Car ID, 230, Car TripT, 9.72, Car DT, 3280.60, Car AT, 3270.88
Car ID, 231, Car TripT, 9.72, Car DT, 3294.88, Car AT, 3285.17
Car ID, 232, Car TripT, 9.72, Car DT, 3309.17, Car AT, 3299.45
Car ID, 233, Car TripT, 9.72, Car DT, 3323.45, Car AT, 3313.73
